pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,classe
1,-1,-1,1,1,1,-1,-1,1,X venceu
-1,0,1,0,1,-1,1,0,0,X venceu
0,0,0,1,0,1,-1,-1,1,Tem jogo
0,0,-1,-1,0,0,1,1,1,X venceu
1,1,-1,-1,-1,0,1,-1,1,Tem jogo
1,1,1,1,-1,-1,0,0,-1,X venceu
1,1,0,0,0,0,0,0,-1,Tem jogo
1,-1,0,0,-1,1,0,-1,1,O venceu
1,1,0,0,-1,0,0,-1,0,Tem jogo
-1,0,0,-1,1,0,-1,1,1,O venceu
1,0,1,-1,0,1,-1,0,-1,Tem jogo
0,1,0,1,1,-1,-1,0,-1,Tem jogo
0,-1,0,1,0,0,0,-1,1,Tem jogo
0,0,0,0,0,1,-1,-1,1,Tem jogo
0,1,1,-1,0,0,0,0,0,Tem jogo
-1,0,-1,0,-1,1,1,1,1,X venceu
-1,0,1,-1,1,0,1,-1,1,X venceu
0,0,0,-1,-1,0,0,1,1,Tem jogo
-1,1,0,1,1,1,-1,0,-1,X venceu
1,-1,-1,-1,1,1,1,-1,-1,Empate
1,-1,1,-1,1,1,1,-1,-1,X venceu
0,1,-1,-1,-1,1,-1,1,1,O venceu
1,1,0,-1,0,1,-1,-1,1,Tem jogo
0,-1,1,0,1,0,1,-1,0,X venceu
-1,0,1,-1,1,1,1,-1,0,X venceu
1,-1,-1,1,-1,1,1,0,0,X venceu
1,-1,-1,0,0,0,1,0,1,Tem jogo
-1,1,1,0,-1,-1,1,1,-1,O venceu
0,-1,0,1,0,0,-1,1,0,Tem jogo
1,-1,1,0,1,-1,-1,1,-1,Tem jogo
0,1,0,0,-1,1,1,0,-1,Tem jogo
1,1,1,-1,-1,1,-1,0,0,X venceu
-1,1,1,0,1,-1,1,0,-1,X venceu
-1,1,1,1,-1,0,-1,1,-1,O venceu
-1,1,0,-1,-1,1,0,1,1,Tem jogo
1,0,0,0,1,-1,1,-1,-1,Tem jogo
-1,1,0,-1,-1,1,-1,1,1,O venceu
0,-1,1,-1,-1,0,1,1,1,X venceu
1,-1,0,1,-1,0,0,-1,1,O venceu
-1,-1,1,-1,1,1,1,0,0,X venceu
1,-1,1,0,-1,0,1,0,-1,Tem jogo
0,0,-1,1,1,1,0,0,-1,X venceu
-1,0,1,1,0,0,1,-1,0,Tem jogo
1,-1,-1,0,-1,1,1,-1,1,O venceu
0,1,1,0,1,-1,1,-1,-1,X venceu
-1,0,0,0,0,-1,1,1,1,X venceu
0,-1,-1,1,0,1,-1,1,0,Tem jogo
-1,1,-1,0,0,1,-1,1,0,Tem jogo
1,1,1,-1,-1,0,1,-1,0,X venceu
1,0,-1,1,-1,0,1,-1,1,X venceu
0,-1,1,1,1,-1,1,0,-1,X venceu
0,-1,-1,1,1,1,0,1,-1,X venceu
1,0,1,-1,-1,-1,-1,1,1,O venceu
1,0,1,0,0,-1,0,-1,0,Tem jogo
1,0,-1,-1,-1,1,-1,1,1,O venceu
0,0,0,0,1,-1,0,-1,1,Tem jogo
-1,-1,1,1,-1,1,1,-1,0,O venceu
-1,1,1,-1,0,0,-1,0,1,O venceu
-1,1,-1,-1,1,0,1,1,0,X venceu
1,0,1,0,1,-1,1,-1,-1,X venceu
-1,1,1,-1,-1,1,0,0,1,X venceu
-1,0,1,1,0,-1,1,-1,0,Tem jogo
0,0,1,0,0,1,-1,-1,1,X venceu
1,-1,0,-1,1,0,1,-1,1,X venceu
1,0,-1,-1,0,-1,1,1,1,X venceu
1,1,-1,-1,-1,1,-1,0,1,O venceu
0,0,0,1,1,-1,-1,0,0,Tem jogo
1,0,-1,-1,1,-1,1,1,-1,O venceu
-1,0,0,0,0,-1,1,0,1,Tem jogo
-1,1,-1,1,1,-1,-1,-1,1,Empate
0,-1,1,0,0,-1,1,0,1,Tem jogo
1,0,0,1,-1,0,1,-1,0,X venceu
-1,1,0,1,1,-1,-1,1,0,X venceu
-1,0,0,-1,-1,1,1,1,1,X venceu
-1,1,0,-1,0,1,-1,1,0,O venceu
0,0,0,1,-1,0,0,-1,1,Tem jogo
-1,1,-1,1,1,-1,1,-1,1,Empate
-1,-1,0,1,0,1,-1,0,1,Tem jogo
-1,0,1,0,1,0,1,0,-1,X venceu
0,1,-1,1,0,-1,0,1,-1,O venceu
-1,-1,1,1,0,1,1,-1,-1,Tem jogo
1,0,1,1,0,-1,1,-1,-1,X venceu
0,-1,0,-1,1,0,0,0,1,Tem jogo
0,0,0,0,-1,0,0,0,1,Tem jogo
1,-1,0,0,1,0,1,-1,0,Tem jogo
1,1,-1,-1,1,0,0,-1,0,Tem jogo
1,1,-1,-1,0,-1,1,1,-1,O venceu
-1,0,0,-1,1,-1,1,1,1,X venceu
1,-1,1,-1,-1,1,0,0,0,Tem jogo
0,1,1,-1,0,0,-1,0,0,Tem jogo
-1,-1,1,0,0,0,0,0,1,Tem jogo
0,0,-1,1,1,-1,1,0,-1,O venceu
-1,0,-1,1,0,1,0,1,-1,Tem jogo
0,1,1,1,-1,1,-1,-1,-1,O venceu
0,0,0,1,-1,0,0,1,-1,Tem jogo
-1,1,-1,-1,1,0,0,1,1,X venceu
1,1,-1,0,-1,1,-1,1,-1,O venceu
1,0,0,1,0,-1,1,0,-1,X venceu
0,-1,1,-1,1,-1,1,0,1,X venceu
1,-1,-1,0,1,-1,1,1,-1,O venceu
1,-1,1,0,-1,0,0,-1,1,O venceu
0,0,1,-1,1,-1,0,0,0,Tem jogo
0,1,0,0,1,0,0,0,-1,Tem jogo
1,-1,0,1,0,-1,1,-1,1,X venceu
1,-1,1,1,0,-1,0,-1,0,Tem jogo
-1,-1,-1,1,0,1,1,-1,1,O venceu
0,-1,0,0,0,0,0,1,0,Tem jogo
1,1,0,-1,1,-1,0,1,-1,X venceu
1,-1,0,1,0,0,0,0,-1,Tem jogo
-1,1,1,0,-1,1,0,0,-1,O venceu
0,-1,1,-1,1,0,1,-1,1,X venceu
-1,-1,0,0,0,1,1,0,1,Tem jogo
1,-1,0,1,1,-1,0,-1,1,X venceu
0,1,0,-1,1,-1,0,1,0,X venceu
0,1,1,-1,-1,1,0,0,0,Tem jogo
0,1,1,1,0,0,-1,-1,-1,O venceu
1,-1,0,1,1,-1,1,0,-1,X venceu
1,1,-1,0,1,-1,1,-1,-1,O venceu
1,1,-1,-1,-1,1,1,-1,1,Empate
0,1,-1,-1,1,0,-1,1,1,X venceu
-1,0,0,0,1,1,0,0,0,Tem jogo
0,-1,-1,0,0,0,1,1,1,X venceu
-1,0,-1,0,1,1,0,0,0,Tem jogo
-1,0,-1,1,1,-1,1,-1,1,Tem jogo
1,-1,1,-1,1,1,-1,-1,1,X venceu
0,0,-1,0,1,0,-1,1,0,Tem jogo
-1,0,-1,0,0,1,0,1,1,Tem jogo
1,1,1,-1,-1,0,-1,0,1,X venceu
-1,1,1,0,1,-1,0,1,-1,X venceu
0,-1,0,1,-1,-1,1,1,1,X venceu
1,1,1,-1,1,0,0,-1,-1,X venceu
0,1,0,1,0,-1,0,0,0,Tem jogo
0,0,-1,0,0,0,1,0,1,Tem jogo
1,0,0,-1,0,-1,1,0,1,Tem jogo
-1,1,1,1,-1,-1,1,0,-1,O venceu
1,0,1,1,-1,-1,-1,-1,1,Tem jogo
1,1,-1,1,-1,-1,-1,0,1,O venceu
0,1,1,-1,-1,1,-1,0,1,X venceu
1,0,-1,0,1,-1,1,-1,1,X venceu
-1,-1,0,-1,1,0,1,1,1,X venceu
1,-1,1,1,-1,0,0,-1,0,O venceu
0,-1,1,1,-1,1,0,-1,0,O venceu
-1,1,0,-1,1,0,1,1,-1,X venceu
1,1,-1,0,-1,-1,1,1,-1,O venceu
-1,-1,1,0,1,1,-1,0,0,Tem jogo
0,0,0,-1,1,0,0,0,1,Tem jogo
-1,1,1,-1,0,0,1,-1,0,Tem jogo
1,-1,-1,0,0,0,1,-1,1,Tem jogo
-1,1,1,0,0,1,-1,-1,1,X venceu
1,-1,-1,1,0,1,1,-1,0,X venceu
0,0,0,1,0,1,-1,1,-1,Tem jogo
1,0,-1,1,-1,-1,1,1,0,X venceu
1,1,-1,-1,-1,1,1,-1,-1,Empate
-1,-1,0,1,1,-1,1,0,0,Tem jogo
-1,1,0,0,0,0,0,1,0,Tem jogo
0,1,-1,1,1,1,-1,0,-1,X venceu
1,-1,0,-1,1,-1,1,1,0,Tem jogo
-1,0,1,0,-1,1,-1,1,1,X venceu
0,1,0,1,1,0,-1,-1,0,Tem jogo
0,-1,1,-1,1,0,0,0,0,Tem jogo
0,1,0,0,1,-1,0,1,-1,X venceu
-1,1,1,-1,-1,1,1,0,-1,O venceu
-1,0,1,0,1,1,1,-1,-1,X venceu
-1,-1,-1,1,0,0,1,0,1,O venceu
1,0,-1,0,-1,0,-1,1,1,O venceu
1,1,-1,-1,1,1,-1,-1,1,X venceu
-1,0,1,-1,1,1,0,-1,1,X venceu
0,0,1,0,1,-1,-1,-1,1,Tem jogo
-1,1,0,1,-1,1,1,-1,-1,O venceu
-1,1,1,1,0,-1,1,0,-1,Tem jogo
1,1,0,1,0,0,-1,0,-1,Tem jogo
1,1,1,0,0,-1,1,-1,-1,X venceu
0,0,-1,1,0,1,-1,0,0,Tem jogo
1,-1,-1,1,0,-1,1,0,1,X venceu
1,1,1,0,-1,1,0,-1,-1,X venceu
1,-1,0,1,0,1,0,0,-1,Tem jogo
-1,1,-1,0,0,0,1,1,0,Tem jogo
0,0,1,0,0,-1,1,0,-1,Tem jogo
-1,-1,1,0,1,1,0,0,0,Tem jogo
1,0,0,1,0,-1,-1,0,1,Tem jogo
0,-1,1,1,-1,0,-1,1,0,Tem jogo
1,0,-1,1,1,-1,0,0,-1,O venceu
1,1,1,-1,0,-1,1,-1,0,X venceu
-1,0,1,-1,1,0,1,1,-1,X venceu
1,1,0,0,0,0,-1,-1,1,Tem jogo
-1,0,0,1,-1,1,-1,1,0,Tem jogo
1,-1,1,-1,-1,0,1,-1,1,O venceu
1,-1,0,1,0,0,1,0,-1,X venceu
-1,0,-1,1,0,0,0,1,0,Tem jogo
1,-1,1,1,1,0,-1,-1,-1,O venceu
1,0,0,0,0,0,-1,1,-1,Tem jogo
1,1,1,-1,1,-1,0,-1,0,X venceu
1,1,0,0,-1,0,1,-1,-1,Tem jogo
1,0,1,0,1,-1,-1,-1,1,X venceu
1,0,1,-1,0,0,1,-1,-1,Tem jogo
-1,0,1,1,-1,1,-1,1,0,Tem jogo
-1,1,1,-1,1,0,0,1,-1,X venceu
0,0,-1,1,0,0,0,-1,1,Tem jogo
-1,1,1,-1,-1,1,1,-1,1,X venceu
1,1,-1,0,-1,1,-1,0,0,O venceu
0,0,-1,0,0,0,-1,1,1,Tem jogo
1,1,1,-1,0,1,-1,0,-1,X venceu
-1,-1,1,0,1,-1,1,0,1,X venceu
1,0,1,-1,1,-1,1,0,-1,X venceu
-1,1,1,-1,0,0,0,0,1,Tem jogo
0,1,1,-1,-1,-1,0,1,0,O venceu
1,0,-1,1,-1,1,-1,0,0,O venceu
0,-1,1,-1,-1,1,1,0,1,X venceu
-1,0,1,-1,0,1,0,0,1,X venceu
0,0,-1,1,-1,1,-1,1,0,O venceu
1,-1,-1,1,-1,1,0,-1,1,O venceu
1,1,0,-1,-1,0,-1,0,1,Tem jogo
-1,1,1,-1,0,1,-1,0,0,O venceu
-1,0,1,1,-1,1,-1,1,-1,O venceu
0,-1,0,-1,1,1,1,0,0,Tem jogo
1,0,1,-1,0,0,1,0,-1,Tem jogo
-1,-1,0,0,0,1,1,0,0,Tem jogo
1,1,0,0,0,0,0,-1,0,Tem jogo
-1,0,1,0,1,0,0,-1,1,Tem jogo
1,-1,-1,1,1,0,1,-1,0,X venceu
1,-1,0,1,-1,0,1,0,0,X venceu
1,0,1,1,-1,0,-1,-1,1,Tem jogo
0,1,0,-1,1,-1,1,1,-1,X venceu
0,-1,0,1,0,1,0,-1,1,Tem jogo
0,-1,1,0,-1,-1,1,1,1,X venceu
0,-1,1,-1,0,1,1,-1,1,X venceu
1,0,-1,1,-1,-1,1,0,1,X venceu
1,-1,0,1,1,0,1,-1,-1,X venceu
-1,0,1,-1,-1,1,1,1,-1,O venceu
1,0,0,1,0,-1,1,-1,0,X venceu
1,-1,-1,-1,1,1,1,1,-1,Empate
1,1,-1,-1,-1,1,-1,1,0,O venceu
-1,1,-1,0,0,0,1,0,1,Tem jogo
1,1,-1,-1,0,0,1,-1,1,Tem jogo
-1,1,-1,0,1,0,1,1,-1,X venceu
0,1,0,0,-1,0,-1,1,1,Tem jogo
0,-1,0,1,1,0,-1,-1,1,Tem jogo
0,0,-1,1,1,1,1,-1,-1,X venceu
1,-1,-1,1,1,-1,0,0,0,Tem jogo
0,1,-1,0,1,0,0,1,-1,X venceu
1,-1,0,0,1,1,-1,-1,1,X venceu
-1,-1,0,1,0,0,1,0,1,Tem jogo
1,0,-1,1,1,1,-1,0,-1,X venceu
-1,0,1,-1,1,1,-1,0,0,O venceu
-1,0,1,1,-1,0,-1,1,1,Tem jogo
1,-1,0,0,1,0,0,-1,1,X venceu
-1,1,0,0,1,1,-1,1,-1,X venceu
1,0,-1,0,0,-1,0,0,1,Tem jogo
-1,0,0,0,0,1,1,0,-1,Tem jogo
1,-1,1,-1,-1,1,0,1,0,Tem jogo
0,-1,1,0,1,-1,1,1,-1,X venceu
1,0,-1,1,1,-1,1,-1,0,X venceu
0,-1,1,-1,-1,1,0,1,1,X venceu
1,1,1,-1,0,0,0,0,-1,X venceu
1,1,-1,-1,-1,1,1,1,-1,Empate
0,-1,1,0,0,0,0,0,0,Tem jogo
0,-1,1,0,-1,0,0,1,0,Tem jogo
1,1,0,1,-1,0,0,-1,0,Tem jogo
-1,0,1,-1,1,0,-1,0,1,O venceu
0,-1,1,1,-1,0,1,-1,0,O venceu
-1,1,0,1,-1,-1,1,1,-1,O venceu
0,0,1,1,1,0,-1,-1,-1,O venceu
1,1,1,0,-1,0,-1,1,-1,X venceu
1,1,-1,0,1,-1,0,0,-1,O venceu
1,-1,1,-1,-1,-1,0,1,1,O venceu
-1,-1,-1,1,-1,1,0,1,1,O venceu
-1,-1,1,-1,1,0,1,0,1,X venceu
-1,1,-1,-1,0,1,-1,1,1,O venceu
-1,1,-1,-1,1,1,1,-1,-1,Empate
1,-1,0,1,1,-1,-1,0,1,X venceu
1,0,-1,1,1,1,-1,-1,0,X venceu
-1,1,1,0,-1,1,-1,1,-1,O venceu
1,1,-1,-1,1,1,-1,1,-1,X venceu
-1,0,0,0,1,0,1,0,0,Tem jogo
1,1,1,-1,-1,1,0,-1,0,X venceu
-1,0,0,1,-1,-1,1,1,1,X venceu
1,-1,1,0,0,1,0,0,-1,Tem jogo
1,-1,1,0,1,-1,0,-1,1,X venceu
-1,1,-1,1,-1,0,1,1,0,Tem jogo
1,0,-1,0,0,-1,1,1,-1,O venceu
-1,1,-1,1,-1,0,1,1,-1,O venceu
-1,1,1,0,1,-1,0,0,-1,Tem jogo
-1,0,0,0,1,0,1,1,-1,Tem jogo
-1,0,-1,1,1,1,0,1,-1,X venceu
1,0,-1,1,-1,1,1,0,-1,X venceu
-1,0,1,0,0,1,0,-1,1,X venceu
0,0,0,0,1,0,0,0,-1,Tem jogo
1,-1,1,-1,-1,-1,1,0,1,O venceu
0,0,1,0,-1,0,-1,0,1,Tem jogo
1,-1,0,1,0,-1,0,1,-1,Tem jogo
-1,1,0,1,1,1,0,-1,-1,X venceu
-1,-1,0,1,1,-1,-1,1,1,Tem jogo
0,0,-1,1,0,-1,1,1,0,Tem jogo
-1,0,1,-1,-1,0,1,1,1,X venceu
1,-1,-1,1,-1,1,-1,1,0,O venceu
-1,-1,-1,1,0,0,1,1,0,O venceu
0,-1,1,1,1,1,-1,-1,0,X venceu
1,-1,0,-1,1,-1,0,1,1,X venceu
0,-1,0,1,1,1,0,-1,0,X venceu
1,-1,1,1,-1,1,-1,0,0,Tem jogo
0,1,-1,0,0,-1,1,1,-1,O venceu
0,-1,0,1,1,0,0,0,-1,Tem jogo
1,1,1,-1,1,-1,0,0,-1,X venceu
-1,1,0,0,-1,0,1,1,-1,O venceu
0,0,-1,0,1,0,-1,0,1,Tem jogo
1,1,1,-1,0,0,-1,0,0,X venceu
0,0,-1,1,-1,1,-1,0,1,O venceu
0,1,-1,0,1,0,-1,1,0,X venceu
-1,0,-1,1,1,1,0,0,0,X venceu
-1,1,1,0,0,-1,0,1,-1,Tem jogo
0,-1,0,0,0,1,0,1,0,Tem jogo
0,0,-1,1,0,-1,-1,1,1,Tem jogo
1,-1,1,1,0,0,1,-1,-1,X venceu
-1,0,-1,-1,0,1,1,1,1,X venceu
1,-1,1,0,-1,-1,1,-1,1,O venceu
0,-1,1,0,-1,0,0,0,1,Tem jogo
1,-1,0,1,1,-1,1,-1,0,X venceu
1,0,1,-1,-1,-1,1,0,0,O venceu
0,0,-1,1,1,0,-1,1,0,Tem jogo
0,0,-1,1,1,0,1,-1,-1,Tem jogo
0,1,-1,-1,0,0,1,1,-1,Tem jogo
1,0,1,0,0,-1,-1,0,0,Tem jogo
0,0,0,1,1,-1,1,0,-1,Tem jogo
-1,1,-1,-1,1,1,1,1,-1,X venceu
1,1,-1,0,0,-1,1,0,-1,O venceu
-1,0,-1,0,1,-1,1,1,1,X venceu
1,1,-1,1,0,0,1,-1,-1,X venceu
1,0,-1,1,0,-1,0,1,-1,O venceu
-1,1,-1,1,0,-1,1,0,1,Tem jogo
0,-1,1,0,1,0,1,0,-1,X venceu
1,-1,-1,0,1,0,1,-1,1,X venceu
1,1,0,-1,-1,-1,0,1,0,O venceu
0,1,1,1,1,-1,-1,-1,-1,O venceu
1,-1,1,1,-1,-1,1,0,0,X venceu
0,-1,1,-1,1,1,0,-1,1,X venceu
0,-1,-1,1,1,0,0,1,0,Tem jogo
1,0,-1,1,0,0,0,0,-1,Tem jogo
-1,1,1,1,-1,0,-1,1,0,Tem jogo
-1,0,0,1,0,1,-1,1,0,Tem jogo
0,1,0,1,0,0,-1,0,-1,Tem jogo
1,1,0,-1,1,0,-1,1,-1,X venceu
0,1,1,-1,0,0,1,-1,0,Tem jogo
1,-1,-1,-1,1,1,-1,1,-1,Empate
1,1,0,0,-1,-1,-1,1,1,Tem jogo
1,1,0,-1,1,-1,0,-1,1,X venceu
0,-1,-1,1,0,1,0,0,1,Tem jogo
1,-1,1,-1,1,-1,1,0,0,X venceu
1,0,-1,1,1,0,0,-1,0,Tem jogo
0,1,0,-1,1,-1,-1,1,1,X venceu
-1,1,0,-1,0,-1,1,1,1,X venceu
-1,-1,-1,1,1,0,1,1,-1,O venceu
1,1,-1,0,1,-1,-1,0,1,X venceu
1,1,1,0,1,-1,0,-1,-1,X venceu
0,-1,0,0,-1,1,1,-1,1,O venceu
-1,1,1,0,1,1,-1,-1,-1,O venceu
0,0,0,1,1,-1,0,0,0,Tem jogo
1,-1,1,1,-1,-1,1,1,-1,X venceu
-1,1,1,0,-1,1,-1,0,1,X venceu
1,0,-1,-1,1,-1,0,1,1,X venceu
0,0,1,-1,1,1,1,-1,-1,X venceu
1,0,-1,0,1,0,-1,0,1,X venceu
0,0,-1,1,1,1,-1,0,0,X venceu
-1,-1,1,-1,0,0,1,0,1,Tem jogo
0,1,1,0,1,-1,-1,1,-1,X venceu
0,-1,-1,0,1,0,0,1,0,Tem jogo
-1,1,0,-1,0,0,0,1,0,Tem jogo
1,0,0,-1,0,1,0,-1,1,Tem jogo
1,-1,1,1,-1,1,-1,-1,0,O venceu
1,1,1,-1,-1,0,-1,1,0,X venceu
1,1,-1,1,-1,-1,-1,1,0,O venceu
-1,0,1,-1,0,1,1,-1,1,X venceu
0,-1,0,1,1,1,-1,0,0,X venceu
0,-1,0,-1,1,-1,0,1,1,Tem jogo
